Provider,Region,UTC,Batch,OCR,File,Time
AWS,us-west-2,Midday,4,True,image_full.png,0.362328195
AWS,us-west-2,Midday,4,False,image_full.png,0.706395242
AWS,us-west-2,Midday,5,True,image_ping.png,0.224011338
AWS,us-west-2,Midday,5,False,image_ping.png,0.014347092
AWS,us-west-2,Midday,5,True,image_full.png,0.946292032
AWS,us-west-2,Midday,5,False,image_full.png,1.096272113
AWS,ap-south-1,Midday,1,True,image_ping.png,0.678413032
AWS,ap-south-1,Midday,1,False,image_ping.png,0.159937456
AWS,ap-south-1,Midday,1,True,image_full.png,0.398563916
AWS,ap-south-1,Midday,1,False,image_full.png,1.33820131
AWS,ap-south-1,Midday,2,True,image_ping.png,0.200281101
AWS,ap-south-1,Midday,2,False,image_ping.png,0.009806374
AWS,ap-south-1,Midday,2,True,image_full.png,0.306480443
AWS,ap-south-1,Midday,2,False,image_full.png,0.801754549
AWS,ap-south-1,Midday,3,True,image_ping.png,0.25394557
AWS,ap-south-1,Midday,3,False,image_ping.png,0.022559912
AWS,ap-south-1,Midday,3,True,image_full.png,0.310535596
AWS,ap-south-1,Midday,3,False,image_full.png,0.586800246
AWS,ap-south-1,Midday,4,True,image_ping.png,0.175560898
AWS,ap-south-1,Midday,4,False,image_ping.png,0.009021729
AWS,ap-south-1,Midday,4,True,image_full.png,0.302413272
AWS,ap-south-1,Midday,4,False,image_full.png,0.693884193
AWS,ap-south-1,Midday,5,True,image_ping.png,0.201370907
AWS,ap-south-1,Midday,5,False,image_ping.png,0.018574958
AWS,ap-northeast-2,Midday,1,True,image_ping.png,0.710028459
AWS,ap-south-1,Midday,5,True,image_full.png,0.518784566
AWS,ap-northeast-2,Midday,1,False,image_ping.png,0.217196846
AWS,ap-south-1,Midday,5,False,image_full.png,0.621766445
AWS,ap-northeast-2,Midday,2,True,image_ping.png,0.28013404
AWS,ap-northeast-2,Midday,2,False,image_ping.png,0.040114945
AWS,ap-northeast-2,Midday,3,True,image_ping.png,0.337313123
AWS,ap-northeast-2,Midday,3,False,image_ping.png,0.056485504
AWS,ap-northeast-2,Midday,4,True,image_ping.png,0.371636845
AWS,ap-northeast-2,Midday,4,False,image_ping.png,0.010703317
AWS,ap-northeast-2,Midday,5,True,image_ping.png,0.191813681
AWS,ap-northeast-2,Midday,5,False,image_ping.png,0.015902698
AWS,ap-northeast-2,Midday,1,True,image_full.png,0.468970823
AWS,ap-northeast-2,Midday,1,False,image_full.png,0.838566141
AWS,ap-northeast-2,Midday,2,True,image_full.png,0.4062241
AWS,ap-northeast-2,Midday,2,False,image_full.png,0.812740858
AWS,ap-northeast-2,Midday,3,True,image_full.png,0.32973554
AWS,ap-northeast-2,Midday,3,False,image_full.png,0.591367374
AWS,ap-northeast-2,Midday,4,True,image_full.png,0.381979994
AWS,ap-southeast-1,Midday,1,True,image_ping.png,0.718407738
AWS,ap-northeast-2,Midday,4,False,image_full.png,0.677889313
AWS,ap-southeast-1,Midday,1,False,image_ping.png,0.161356907
AWS,ap-northeast-2,Midday,5,True,image_full.png,0.481557783
AWS,ap-southeast-1,Midday,1,True,image_full.png,0.598108392
AWS,ap-northeast-2,Midday,5,False,image_full.png,0.776087736
AWS,ap-southeast-1,Midday,1,False,image_full.png,1.059234846
AWS,ap-southeast-1,Midday,2,True,image_ping.png,0.206350512
AWS,ap-southeast-1,Midday,2,False,image_ping.png,0.013327409
AWS,ap-southeast-1,Midday,2,True,image_full.png,0.310926679
AWS,ap-southeast-1,Midday,2,False,image_full.png,0.749514818
AWS,ap-southeast-1,Midday,3,True,image_ping.png,0.232810969
AWS,ap-southeast-1,Midday,3,False,image_ping.png,0.00816495
AWS,ap-southeast-1,Midday,3,True,image_full.png,0.305962487
AWS,ap-southeast-1,Midday,3,False,image_full.png,0.710140231
AWS,ap-southeast-1,Midday,4,True,image_ping.png,0.291643164
AWS,ap-southeast-1,Midday,4,False,image_ping.png,0.012134853
AWS,ap-southeast-1,Midday,4,True,image_full.png,1.004587009
AWS,ap-southeast-1,Midday,4,False,image_full.png,1.851749289
AWS,ap-southeast-1,Midday,5,True,image_ping.png,0.192268487
AWS,ap-southeast-1,Midday,5,False,image_ping.png,0.012052401
AWS,ap-southeast-1,Midday,5,True,image_full.png,0.358331573
AWS,ap-southeast-1,Midday,5,False,image_full.png,0.655224451
AWS,ap-southeast-2,Midday,1,True,image_ping.png,0.79773876
AWS,ap-southeast-2,Midday,1,False,image_ping.png,0.199915828
AWS,ap-southeast-2,Midday,1,True,image_full.png,0.641597762
AWS,ap-southeast-2,Midday,1,False,image_full.png,0.857839955
AWS,ap-southeast-2,Midday,2,True,image_ping.png,0.191515775
AWS,ap-southeast-2,Midday,2,False,image_ping.png,0.009383657
AWS,ap-southeast-2,Midday,2,True,image_full.png,0.359750994
AWS,ap-southeast-2,Midday,2,False,image_full.png,0.71735844
AWS,ap-southeast-2,Midday,3,True,image_ping.png,0.255678725
AWS,ap-southeast-2,Midday,3,False,image_ping.png,0.021732177
AWS,ap-southeast-2,Midday,3,True,image_full.png,0.291255533
AWS,ap-southeast-2,Midday,3,False,image_full.png,0.548379132
AWS,ap-southeast-2,Midday,4,True,image_ping.png,0.226508658
AWS,ap-southeast-2,Midday,4,False,image_ping.png,0.011152076
AWS,ap-southeast-2,Midday,4,True,image_full.png,0.734941325
AWS,ap-southeast-2,Midday,4,False,image_full.png,1.243724762
AWS,ap-southeast-2,Midday,5,True,image_ping.png,0.277446092
AWS,ap-southeast-2,Midday,5,False,image_ping.png,0.009270734
AWS,ap-southeast-2,Midday,5,True,image_full.png,1.646221928
AWS,ap-southeast-2,Midday,5,False,image_full.png,0.686019256
AWS,ap-northeast-1,Midday,1,True,image_ping.png,0.787496658
AWS,ap-northeast-1,Midday,1,False,image_ping.png,0.181949593
AWS,ap-northeast-1,Midday,2,True,image_ping.png,0.357525176
AWS,ap-northeast-1,Midday,2,False,image_ping.png,0.014679879
AWS,ap-northeast-1,Midday,3,True,image_ping.png,0.322895549
AWS,ap-northeast-1,Midday,3,False,image_ping.png,0.101698968
AWS,ap-northeast-1,Midday,4,True,image_ping.png,0.294714521
AWS,ap-northeast-1,Midday,4,False,image_ping.png,0.017941675
AWS,ap-northeast-1,Midday,5,True,image_ping.png,0.176153896
AWS,ap-northeast-1,Midday,5,False,image_ping.png,0.01866516
AWS,ap-northeast-1,Midday,1,True,image_full.png,0.393258082
AWS,ap-northeast-1,Midday,1,False,image_full.png,0.816490411
AWS,ap-northeast-1,Midday,2,True,image_full.png,0.420992395
AWS,ap-northeast-1,Midday,2,False,image_full.png,0.719262701
AWS,ap-northeast-1,Midday,3,True,image_full.png,0.329845421
AWS,ap-northeast-1,Midday,3,False,image_full.png,0.569733539
AWS,ap-northeast-1,Midday,4,True,image_full.png,0.382454959
AWS,ap-northeast-1,Midday,4,False,image_full.png,0.57875749
AWS,ap-northeast-1,Midday,5,True,image_full.png,0.452677071
AWS,eu-central-1,Midday,1,True,image_ping.png,0.467628566
AWS,ap-northeast-1,Midday,5,False,image_full.png,0.867221045
AWS,eu-central-1,Midday,1,False,image_ping.png,0.160646645
AWS,eu-central-1,Midday,1,True,image_full.png,0.408659215
AWS,eu-central-1,Midday,1,False,image_full.png,1.100583338
AWS,eu-central-1,Midday,2,True,image_ping.png,0.171018815
AWS,eu-central-1,Midday,2,False,image_ping.png,0.009921001
AWS,eu-central-1,Midday,2,True,image_full.png,0.34425079
AWS,eu-central-1,Midday,2,False,image_full.png,0.788789888
